,geometry
165,36063990000
221,36063990000
418,26063990000
506,36063990000
510,36063990000
681,36063990000
738,26151990000
766,26141990000
804,26151990000
941,26141990000
1081,36063990000
1603,26151990000
1625,36063990000
1655,36063990000
1712,26063990000
1767,26063990000
2021,36063990000
2111,26141990000
2152,26063990000
2177,26151990000
2221,26063990000
2222,26141990000
2294,26063990000
2353,26063990000
2360,26151990000
2413,26141990000
2447,26063990000
2480,36063990000
2521,36063990000
2719,26063990000
2953,36063990000
3059,26063990000
3068,36063990000
3096,36063990000
3136,26141990000
3346,26151990000
3445,36063990000
3447,36063990000
3490,26063990000
3625,36063990000
3757,26063990000
3971,36063990000
